,Genes,LogChange,LogChange_Thresh
22404,RPL13P6,0.0,0.0
22405,PRDX2P4,0.0,0.0
22406,RP11-641D5.1,-1.9284422596844937,-1.9284422596844937
22407,RPL17P41,0.0,0.0
22408,RPL36AP48,0.0,0.0
22409,OR10N1P,0.0,0.0
22410,OR10D5P,0.0,0.0
22411,RPS7P8,-17.013900909450903,-2.0
22412,RP11-335F8.2,-18.57028706307068,-2.0
22413,FAM24B,0.2825514466376287,0.2825514466376287
22414,TRIM59,0.6376424170890705,0.6376424170890705
22415,COPS5P1,0.0,0.0
22416,YBX1P4,0.0,0.0
22417,BTF3L4P2,-0.6933992476083584,-0.6933992476083584
22418,MLLT11,-1.9367742593241046,-1.9367742593241046
22419,AC016732.2,16.689560276971303,2.0
22420,AC012066.1,0.0,0.0
22421,ASIC3,0.0,0.0
22422,FABP5P10,0.0,0.0
22423,GIMAP1,-1.9562187842734093,-1.9562187842734093
22424,RP3-382I10.7,17.218926259381078,2.0
22425,STRADBP1,0.0,0.0
22426,AC005229.7,0.0,0.0
22427,AC005229.5,0.0,0.0
22428,KRT18P64,0.0,0.0
22429,NCLP1,0.0,0.0
22430,CCDC183,0.0,0.0
22431,ARHGEF35,-17.52545701153165,-2.0
22432,OR2F1,0.0,0.0
22433,RP11-355O1.7,-16.807420012123146,-2.0
22434,CSH2,0.0,0.0
22435,DNLZ,-1.1522719151749898,-1.1522719151749898
22436,AC093724.2,0.0,0.0
22437,AC018804.7,0.0,0.0
22438,RP11-337C18.4,0.0,0.0
22439,RPL12P38,2.517977175896146,2.0
22440,TCL1B,-18.57028706307068,-2.0
22441,PPP1R2P10,0.0,0.0
22442,RPL23AP62,0.0,0.0
22443,ST13P10,-16.99968715816529,-2.0
22444,EEF1A1P16,-0.2499545414618553,-0.2499545414618553
22445,YWHAZP2,0.9391682319928355,0.9391682319928355
22446,AC008155.1,0.0,0.0
22447,AC008155.2,0.0,0.0
22448,NPM1P32,16.58091277121802,2.0
22449,RP11-458D21.5,21.036883521348482,2.0
22450,HIST2H3DP1,0.0,0.0
22451,SUPT4H1,-0.620970681981988,-0.620970681981988
22452,RP11-479A21.1,0.0,0.0
22453,RBMS2P1,0.0,0.0
22454,RP11-819M15.1,0.0,0.0
22455,RPL12P42,-18.56665736196915,-2.0
22456,YWHAZP5,16.8445335467216,2.0
22457,EEF1B2P6,18.730044811291222,2.0
22458,VDAC2P3,0.0,0.0
22459,NIP7P2,0.0,0.0
22460,TSGA13,-18.74134837161262,-2.0
22461,AC004386.4,17.566550193254727,2.0
22462,RPL6P25,-0.9888306975619605,-0.9888306975619605
22463,RP11-613M5.1,16.566557625412006,2.0
22464,IFITM9P,0.0,0.0
22465,MARCKSL1P1,0.0,0.0
22466,RP1-29C18.9,18.821072132894244,2.0
22467,RP11-212P7.1,-16.901395367078386,-2.0
22468,NRAS,0.04744547612835116,0.04744547612835116
22469,RPL23AP45,0.0,0.0
22470,RP11-680L20.1,0.0,0.0
22471,PGK1P2,0.0,0.0
22472,RP11-420H19.3,0.0,0.0
22473,CTD-2666L21.3,-1.2688106865930031,-1.2688106865930031
22474,AC092106.2,16.595126486152353,2.0
22475,RP5-1106E3.1,0.0,0.0
22476,ZNF625-ZNF20,4.676508808150695,2.0
22477,HNRNPA3P6,0.32110599027565156,0.32110599027565156
22478,HMGB3P11,0.0,0.0
22479,RP11-560I19.2,0.0,0.0
22480,CTC-398G3.2,-18.05571547872944,-2.0
22481,CTC-398G3.1,-18.280520621279027,-2.0
22482,HNRNPCP6,-17.027975988824334,-2.0
22483,RPL18P11,-16.985331975280985,-2.0
22484,RPL9P18,17.681005909779387,2.0
22485,CYCSP19,0.0,0.0
22486,RPL7AP34,16.58091277121802,2.0
22487,CTD-3035D6.1,-0.7919540627950458,-0.7919540627950458
22488,LTC4S,-1.1378182558663688,-1.1378182558663688
22489,RP11-331F4.1,0.0,0.0
22490,RPS7P11,-18.703160851694072,-2.0
22491,RP11-281O15.2,0.0,0.0
22492,RP11-713C19.2,0.0,0.0
22493,SLC25A5P6,0.0,0.0
22494,NPM1P50,17.953598197606816,2.0
22495,CLNS1AP1,0.0,0.0
22496,ANKRD39,0.8027729412925678,0.8027729412925678
22497,ATF4P1,0.0,0.0
22498,QTRT1,-0.8013204066416819,-0.8013204066416819
22499,CHUK,1.2416289273591508,1.2416289273591508
22500,RPL21P18,-1.1027401238955248,-1.1027401238955248
22501,PCNPP3,0.0,0.0
22502,MXD3,-1.1078253091051256,-1.1078253091051256
22503,GAPDHP44,-17.988100096849806,-2.0
22504,CNN2P8,0.0,0.0
22505,AC092933.4,-17.994738629353083,-2.0
22506,RP4-778K6.1,0.0,0.0
22507,FTH1P12,0.0,0.0
22508,RPS3P6,-1.3321295741683252,-1.3321295741683252
22509,AP000593.6,0.0,0.0
22510,GSTM2,-0.9246409749440092,-0.9246409749440092
22511,ST13P11,0.0,0.0
22512,RANP6,0.0,0.0
22513,NAP1L1P3,-17.75802591481344,-2.0
22514,LINC00671,0.0,0.0
22515,GAPDHP71,-17.973744859363002,-2.0
22516,COG8,1.8399455315716327,1.8399455315716327
22517,AC104297.1,-16.807420012123146,-2.0
22518,EIF4E2P1,0.0,0.0
22519,RP11-577H5.1,-16.985331975280985,-2.0
22520,RP11-779O18.2,-18.525453188068834,-2.0
22521,ARHGAP19,1.2685199803417688,1.2685199803417688
22522,RP11-66N11.6,0.0,0.0
22523,RP11-546B8.1,0.0,0.0
22524,RPSAP46,0.0,0.0
22525,HAUS7,-0.5023868709823625,-0.5023868709823625
22526,LCAT,0.0,0.0
22527,AC022210.2,0.0,0.0
22528,RPL12P18,0.0,0.0
22529,MAGEA12,0.0,0.0
22530,PTPRCAP,0.061556213206256906,0.061556213206256906
22531,CISD1P1,0.0,0.0
22532,ANXA2P1,0.0,0.0
22533,C1QBPP2,0.0,0.0
22534,RBM22P2,-0.8826228742227706,-0.8826228742227706
22535,HNRNPA1P33,0.0,0.0
22536,PVRIG,0.4384648787465615,0.4384648787465615
22537,CTB-47B8.5,0.0,0.0
22538,KRTAP4-12,0.0,0.0
22539,KRTAP2-4,0.0,0.0
22540,GPC2,0.0,0.0
22541,RP11-84O12.2,0.0,0.0
22542,RBMX2P2,0.0,0.0
22543,KRT222,0.0,0.0
22544,HSPD1P1,0.0,0.0
22545,RP11-301G23.1,0.0,0.0
22546,RP11-624L12.1,-2.1564023628346813,-2.0
22547,RPLP1P6,-0.8088597175554403,-0.8088597175554403
22548,VTI1BP2,0.0,0.0
22549,ATP6V0CP3,0.0,0.0
22550,YBX2P1,0.0,0.0
22551,OR5AC1,0.0,0.0
22552,H2AFZP1,-16.985331975280985,-2.0
22553,RPL18AP3,-0.6509607353993999,-0.6509607353993999
22554,RP11-75L1.2,-0.1767639592637428,-0.1767639592637428
22555,SIPA1,1.8478983028273892,1.8478983028273892
22556,RPS23P2,0.0,0.0
22557,GAPDHP28,0.0,0.0
22558,VDAC1P7,0.0,0.0
22559,OR6C69P,0.0,0.0
22560,AKR1B1P2,0.0,0.0
22561,FTH1P3,-17.109659192169886,-2.0
22562,AC091654.7,-17.539812228796684,-2.0
22563,RP13-235E23.1,0.0,0.0
22564,ERV3-1,-0.24161445052217836,-0.24161445052217836
22565,SYNJ2BP,0.06151560351664409,0.06151560351664409
22566,ARL2,-0.908840974449852,-0.908840974449852
22567,HMGB1P37,0.0,0.0
22568,FIRRE,-17.52545701153165,-2.0
22569,RP11-972K6.1,0.0,0.0
22570,TTLL13P,16.733503215074276,2.0
22571,CFL1P2,-0.19863452494758102,-0.19863452494758102
22572,RP11-364P2.2,0.0,0.0
22573,NDUFAF4P2,0.0,0.0
22574,EIF4A1P8,0.0,0.0
22575,AC108039.1,0.0,0.0
22576,ASS1P4,0.0,0.0
22577,CTB-85P21.1,-18.525453188068834,-2.0
22578,RP13-147D17.1,0.0,0.0
22579,NT5C3AP1,18.77443883010587,2.0
22580,ACTN4P1,0.0,0.0
22581,RP11-416L21.1,0.0,0.0
22582,TPT1P13,0.0,0.0
22583,LAP3P2,-16.750836986906087,-2.0
22584,PPIAP16,20.591990317356284,2.0
22585,GBP7,0.0,0.0
22586,RP13-39P12.2,16.566557625412006,2.0
22587,RP11-428P16.2,0.0,0.0
22588,RBMXL1,2.205833319547656,2.0
22589,AC132008.1,0.0,0.0
22590,RAC1P5,0.0,0.0
22591,SRA1,-0.12483822726570616,-0.12483822726570616
22592,RP11-383B24.3,0.0,0.0
22593,SETP8,0.0,0.0
22594,RP11-591L14.1,-16.750836986906087,-2.0
22595,RP11-432F4.2,0.0,0.0
22596,MTHFD2P5,0.0,0.0
22597,TMEM110,0.18610447274298958,0.18610447274298958
22598,GNG5P1,0.0,0.0
22599,KRT8P41,0.0,0.0
22600,YBX1P6,0.0,0.0
22601,RP11-486G15.1,0.0,0.0
22602,RP11-467H10.1,16.733503215074276,2.0
22603,RARRES2P2,0.0,0.0
22604,VN1R64P,0.0,0.0
22605,AC005522.6,0.0,0.0
22606,AC005077.8,0.0,0.0
