"Pathway","Mean_non_Tfh","Mean_Tfh","P_value","Cliffs_delta"
"PID-P38-MK2-PATHWAY",8678.81309498826,8713.97757845769,0.323879913229349,-0.0144221130216423
"PID-P38-MKK3-6PATHWAY",7327.38210772266,7478.47228051628,2.43294026494417e-09,-0.0872166301288588
"PID-P53-DOWNSTREAM-PATHWAY",7068.96776550797,7234.71087135236,7.54003357591171e-52,-0.221485444476879
"PID-P53-REGULATION-PATHWAY",7656.61190667581,7979.41112471202,2.51579660157443e-39,-0.191809783154873
"PID-P73PATHWAY",6656.6904709155,6732.38384835003,2.75826938674795e-11,-0.0973482250845748
"PID-P75-NTR-PATHWAY",7940.2241417292,7929.68234784915,0.290633955702481,0.0154486112462547
"PID-PDGFRA-PATHWAY",8724.71043924107,8841.28763495552,8.91368480676563e-05,-0.0572839564969487
"PID-PDGFRB-PATHWAY",8464.43837228502,8702.79494289449,4.45127400798796e-36,-0.183339872686302
"PID-PI3KCI-AKT-PATHWAY",8385.4917085515,8800.37316366042,4.11033325546962e-59,-0.237014662885292
"PID-PI3KCI-PATHWAY",8676.63471465096,8775.40710376681,1.58097055995193e-09,-0.0882397526149315
"PID-PI3K-PLC-TRK-PATHWAY",8808.09395037734,8768.65425779109,0.0174912160414751,0.0347384023879427
"PID-PLK1-PATHWAY",3932.29735009159,4048.33610161622,1.67838192803229e-13,-0.107775607725314
"PID-PRL-SIGNALING-EVENTS-PATHWAY",7473.24375257849,7550.37958975415,3.08879675927448e-05,-0.0609155668943876
"PID-PS1-PATHWAY",7230.10481712705,7408.71495080967,5.46677878004474e-18,-0.126356402537479
"PID-PTP1B-PATHWAY",7252.26745778648,7392.31023540153,4.84102839889686e-19,-0.130342511099679
"PID-RAC1-PATHWAY",8869.27585149776,9006.69179666981,2.86011657823385e-16,-0.119571624253477
"PID-RAC1-REG-PATHWAY",7300.795451127,7625.38853723508,1.39943731219512e-49,-0.216408972366341
"PID-RANBP2-PATHWAY",8546.67160389594,9177.77062339485,2.28259779957265e-35,-0.18143641233077
"PID-RAS-PATHWAY",7887.56660908551,7813.20379135638,0.00334686607636698,0.0428919057955455
"PID-RB-1PATHWAY",7591.27656952563,7755.64672608064,3.39914356217646e-27,-0.157904138970215
"PID-REELIN-PATHWAY",8199.14589001752,8357.00523411438,7.02761816416418e-14,-0.109459097658702
"PID-REG-GR-PATHWAY",8337.61949059347,8559.36244225325,1.43468377503069e-47,-0.211808570626084
"PID-RETINOIC-ACID-PATHWAY",7038.81250680969,7318.9407293883,2.42267465099338e-19,-0.13145915066692
"PID-RET-PATHWAY",7507.52239986841,7651.52836327227,7.14583568849127e-14,-0.109427073760663
"PID-RHOA-PATHWAY",8059.97449165461,8324.8289667525,2.77092259188766e-32,-0.17292745277855
"PID-RHOA-REG-PATHWAY",6724.58890060991,6733.5841898677,0.872662476001475,-0.00234317310937771
"PID-RHODOPSIN-PATHWAY",6189.94319343363,6000.12926007707,2.54780727607582e-51,0.220312512188583
"PID-RXR-VDR-PATHWAY",5974.3762689198,5884.12444245991,0.00161114128395326,0.0461072511365633
"PID-S1P-META-PATHWAY",4627.32232178826,4272.91089129067,1.92486753596149e-47,0.211513193503857
"PID-S1P-S1P1-PATHWAY",6766.67252179284,6752.88689935644,0.424331788667749,0.0116797360208956
"PID-S1P-S1P2-PATHWAY",6934.44091140734,6866.48258671924,0.0329044430718301,0.031186395554718
"PID-S1P-S1P3-PATHWAY",6348.97161561843,6386.06631543595,0.0107690513079841,-0.0372805159807234
"PID-S1P-S1P4-PATHWAY",6182.46270757614,6379.17338033241,6.21895284768854e-10,-0.0904165109379175
"PID-SHP2-PATHWAY",8638.11835507453,8796.17020037555,1.45202838189448e-31,-0.170882758821409
"PID-SMAD2-3NUCLEAR-PATHWAY",8271.48222540945,8294.72904034042,0.0825972097173396,-0.0253762021107581
"PID-SMAD2-3PATHWAY",6236.76575346413,6887.64977688536,1.67123722109425e-43,-0.202189084330465
"PID-SYNDECAN-1-PATHWAY",6693.7977809228,6554.14978579309,1.17362988778838e-27,0.159325142423093
"PID-SYNDECAN-2-PATHWAY",7678.93460785394,7747.62177806907,0.000537485783064327,-0.0506020926203208
"PID-SYNDECAN-3-PATHWAY",8027.31116292123,8342.7821147858,1.7296436935522e-47,-0.211620715338156
"PID-SYNDECAN-4-PATHWAY",5701.99903053633,5748.87107871619,0.0177352994082955,-0.0346635887230079
"PID-TAP63-PATHWAY",5532.69058079235,5697.66865617356,5.34589877021626e-29,-0.16338378374581
"PID-TCPTP-PATHWAY",8562.94511558144,8681.49177343361,1.20748353866673e-07,-0.0773700569893093
"PID-TCR-CALCIUM-PATHWAY",7866.03562118789,8127.47199665926,2.16827168799744e-24,-0.148988722250574
"PID-TCR-JNK-PATHWAY",7537.933994689,7976.54596679502,2.87777381422041e-19,-0.131182340106661
"PID-TCR-PATHWAY",9512.14732751122,9848.7244184982,1.04799947649284e-46,-0.209802104627002
"PID-TCR-RAS-PATHWAY",9109.47779922374,9178.881559486,0.161153716446679,-0.0204844832581388
"PID-TELOMERASE-PATHWAY",7956.20791749266,8079.0698347158,1.70149184074767e-08,-0.0824508172001542
"PID-TGFBR-PATHWAY",7602.89686014779,7581.19087213219,0.364439038039133,0.0132587605319051
"PID-THROMBIN-PAR1-PATHWAY",6922.99727325006,6836.27003327903,0.000157646948484082,0.0552416346804036
"PID-THROMBIN-PAR4-PATHWAY",6699.25651451952,6742.5116947734,0.10011905377492,-0.0240380411063682
"PID-TNF-PATHWAY",9075.75289985915,8892.77201060962,6.75907612420172e-21,0.137090703676804
"PID-TOLL-ENDOGENOUS-PATHWAY",9255.78726293349,9298.78129049244,0.00335522002022424,-0.0428805925096285
"PID-TRAIL-PATHWAY",8818.45797155947,8812.48382576109,0.951340867490007,-0.000892152954348294
"PID-TRKR-PATHWAY",7274.27015409927,7579.37390456296,1.59981062544336e-58,-0.235790729574193
"PID-TXA2PATHWAY",6576.82323642585,6556.98761897754,0.247344819932745,0.0169118570489686
"PID-UPA-UPAR-PATHWAY",5023.35735426307,4821.19071461902,1.27549922999493e-46,0.20960284481698
"PID-VEGFR1-2-PATHWAY",7685.61557489062,8060.21812860504,7.46519365030319e-73,-0.26392103253441
"PID-VEGFR1-PATHWAY",7089.12734479188,7594.60115581356,7.11084661596424e-64,-0.246669457581313
"PID-VEGF-VEGFR-PATHWAY",7190.12845524055,7246.14006085371,0.606857504174321,-0.00752255962728926
"PID-WNT-CANONICAL-PATHWAY",8544.82824274346,8780.79541269418,7.43935501767556e-30,-0.165923890142702
"PID-WNT-NONCANONICAL-PATHWAY",8696.55070619358,8787.01346242404,8.20892088853989e-07,-0.0720775376122279
"PID-WNT-SIGNALING-PATHWAY",5665.68217988861,5611.77565102277,1.18882748505667e-06,0.0710126289572038
