"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-LKB1-PATHWAY",7015.40020775609,6934.5463780614,0.0612453342727793,4.6210359279395e-05
"PID-LPA4-PATHWAY",5630.23219247503,5863.45975290618,-0.134779393746357,3.08972005159947e-19
"PID-LYMPH-ANGIOGENESIS-PATHWAY",7156.43447559642,7223.30572760187,-0.0433166088360468,0.00395913720084798
"PID-LYSOPHOSPHOLIPID-PATHWAY",6635.26418631754,6604.3308760495,0.0425429600805178,0.00465572424055898
"PID-MAPK-TRK-PATHWAY",7162.07359508214,7157.95930006429,0.00178666319200356,0.905398530202696
"PID-MET-PATHWAY",7627.71402357097,7304.40866092587,0.252770909777262,1.92027026339046e-63
"PID-MTOR-4PATHWAY",6815.43067202212,6637.46564365987,0.116395744824602,9.74093629643412e-15
"PID-MYC-ACTIV-PATHWAY",7563.07431973116,7627.483622632,-0.0682590061069349,5.61057458260422e-06
"PID-MYC-PATHWAY",8723.65294701111,8509.0421433342,0.179792581915987,5.77532270063327e-33
"PID-MYC-REPRESS-PATHWAY",7508.46737188976,7439.17954127251,0.0858820898811697,1.11107791421281e-08
"PID-NCADHERIN-PATHWAY",7364.80638723538,7096.81853792375,0.213638374436775,7.81512645471938e-46
"PID-NECTIN-PATHWAY",7421.35244862724,7235.85805050782,0.153116070370507,2.30851448627193e-24
"PID-NEPHRIN-NEPH1-PATHWAY",8536.08279338906,8518.55852646913,0.0138810646410668,0.355820098152442
"PID-NETRIN-PATHWAY",6977.76797971702,6857.79651560447,0.103123925897447,6.89776599978168e-12
"PID-NFAT-3PATHWAY",8139.14267469357,7839.28061405153,0.161327964764342,7.24379042443757e-27
"PID-NFAT-TFPATHWAY",8593.27385769861,8301.17107977774,0.262305106521482,3.53865850369976e-68
"PID-NFKAPPAB-ATYPICAL-PATHWAY",7553.55807848225,7557.03622536122,0.000656432496893984,0.965173789431794
"PID-NFKAPPAB-CANONICAL-PATHWAY",8644.98750326577,8779.13773944209,-0.0650575973669775,1.50742329711232e-05
"PID-NOTCH-PATHWAY",7827.20867053574,7629.1287502177,0.179053250820809,1.04293997170628e-32
"PID-P38-ALPHA-BETA-DOWNSTREAM-PATHWAY",7831.53282854488,7769.27998000308,0.0572890442477971,0.000138495434919522
"PID-P38-ALPHA-BETA-PATHWAY",7408.6654767686,7352.26694367493,0.0460184811325257,0.0022050574360596
"PID-P38-GAMMA-DELTA-PATHWAY",3836.90841536049,3822.59323804472,-0.0109517306020765,0.46630694728239
"PID-P38-MK2-PATHWAY",8166.34990942323,8127.67671840046,0.0189982567700969,0.20631883894078
"PID-P38-MKK3-6PATHWAY",7062.08529772806,6952.4543036262,0.0759586021773483,4.35536714276591e-07
"PID-P53-DOWNSTREAM-PATHWAY",6815.20263440706,6672.70839850596,0.221975421048201,2.4374384005692e-49
