"","pathwayName","fc","adj_pval","logQ","threshold"
"44","PID_ECADHERIN_KERATINOCYTE_PATHWAY",1.35548065459839,0.718606840857659,0.14350865279712,"cond3"
"45","PID_ECADHERIN_NASCENT_AJ_PATHWAY",-0.0730506564430069,0.977577645438646,0.00984873813020723,"cond3"
"46","PID_ECADHERIN_STABILIZATION_PATHWAY",0.430489161100244,0.977577645438646,0.00984873813020723,"cond3"
"47","PID_ENDOTHELIN_PATHWAY",0.0343820239336261,0.982840385049283,0.00751700660413607,"cond3"
"48","PID_EPHA2_FWD_PATHWAY",0.383804697975521,0.977577645438646,0.00984873813020723,"cond3"
"49","PID_EPHA_FWDPATHWAY",0.432267869940565,0.977577645438646,0.00984873813020723,"cond3"
"50","PID_EPHB_FWD_PATHWAY",0.0427477829714583,0.982840385049283,0.00751700660413607,"cond3"
"51","PID_EPHRINB_REV_PATHWAY",1.28399095950842,0.528106905950908,0.277278153290218,"cond3"
"52","PID_EPO_PATHWAY",0.775395971575999,0.849383805738498,0.0708960234789094,"cond3"
"53","PID_ERA_GENOMIC_PATHWAY",0.898194008335174,0.468517572719115,0.329274115359298,"cond3"
"54","PID_ERBB1_DOWNSTREAM_PATHWAY",0.0744422434661457,0.977577645438646,0.00984873813020723,"cond3"
"55","PID_ERBB1_INTERNALIZATION_PATHWAY",-0.186156941591208,0.977577645438646,0.00984873813020723,"cond3"
"56","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY",0.273285995069771,0.977577645438646,0.00984873813020723,"cond3"
"57","PID_ERBB2_ERBB3_PATHWAY",0.203126903917692,0.977577645438646,0.00984873813020723,"cond3"
"58","PID_ERBB4_PATHWAY",0.58130920243523,0.931115200671064,0.0309965833359238,"cond3"
"59","PID_ERBB_NETWORK_PATHWAY",0.379904827470795,0.977577645438646,0.00984873813020723,"cond3"
"60","PID_ERB_GENOMIC_PATHWAY",1.60229862666193,0.647977949274562,0.188439772943175,"cond3"
"61","PID_ER_NONGENOMIC_PATHWAY",0.300936452901014,0.977577645438646,0.00984873813020723,"cond3"
"62","PID_FAK_PATHWAY",0.165762247195703,0.977577645438646,0.00984873813020723,"cond3"
"63","PID_FANCONI_PATHWAY",1.21884511122105,0.352480689326188,0.452864670867766,"cond3"
"64","PID_FAS_PATHWAY",0.662597132448457,0.913238656353937,0.0394157136011118,"cond3"
"65","PID_FCER1_PATHWAY",0.216195345068287,0.977577645438646,0.00984873813020723,"cond3"
"66","PID_FGF_PATHWAY",0.518107976921888,0.900617729123005,0.0454595079787894,"cond3"
"67","PID_FOXM1_PATHWAY",0.585541843448655,0.931115200671064,0.0309965833359238,"cond3"
"68","PID_FOXO_PATHWAY",0.850518013723348,0.718606840857659,0.14350865279712,"cond3"
"69","PID_FRA_PATHWAY",1.64163341572972,0.238534513333733,0.622448774418536,"cond3"
"70","PID_GLYPICAN_1PATHWAY",0.368472645825596,0.977577645438646,0.00984873813020723,"cond3"
