Genes,Naive,Early Extra-GC,Late Extra-GC,GC
AHR,1.4732277075995517,3.371596911885866,1.9424825535830461,1.8675195151095907
REST,2.840968660823695,3.322806747716434,2.7564112727956314,3.0174250981652513
MAZ,2.7564112727956314,3.0531431807673313,2.3970372718877337,3.2762867320815405
HIF1A,2.5831395515215956,3.2762867320815405,2.8708216239733764,2.50659947439926
ELF2,3.2762867320815405,2.855783746608835,2.7166709441461183,2.72974302571347
MAF,1.6759813032107118,2.063264092235686,2.69102851353278,3.2103287642897445
RFX5,2.023523763586172,2.886089096104164,3.168656067889176,2.2729846232177553
ETV6,2.1260024328691096,2.5718399962676615,3.148453360571655,2.45530618001171
ZEB1,2.549616859482951,2.4755088873292292,1.8029809939720194,3.1286507332754767
LEF1,3.1286507332754767,2.840968660823695,2.4961281745319654,2.306886174893437
KLF7,2.94960250182649,3.09018445244768,2.5945682473452174,2.3970372718877337
KLF4,2.855783746608835,2.770016924851411,3.0531431807673313,3.09018445244768
ZSCAN22,3.0714923194355266,2.208446102080184,2.7838102469837462,1.6668488196474394
NFATC1,2.3876475315378953,2.256455321266545,3.0174250981652513,2.94960250182649
THAP11,3.0000333554533833,2.298302431202045,2.5171815837297977,2.3599960002073845
PAX5,2.224194459048323,2.982938922094082,2.5386877889507615,1.4510045708148414
ZSCAN30,2.617825109509485,2.966131803777702,1.966726165193039,2.770016924851411
HMGA1,2.7037675393102094,2.2813528728882715,2.606129069746294,2.966131803777702
TGIF1,1.7874768074360543,2.94960250182649,1.6623136644820482,1.8240344031698519
PRDM1,2.170127237778048,2.0042305606514934,2.9333419809547108,2.2401948003947645
SPIB,2.2321626286974996,2.69102851353278,2.9173416396082685,1.6267543624455614
SETDB1,2.9173416396082685,2.606129069746294,2.90159328264013,2.5278768728465453
FOSB,2.72974302571347,2.8708216239733764,2.50659947439926,2.90159328264013
TFDP1,2.8708216239733764,1.6137389943334912,2.2813528728882715,2.5386877889507615
NR4A2,2.289791741534137,1.7926182069364733,2.208446102080184,2.840968660823695
ZBTB6,2.3419774947047065,2.8263698614025414,1.7181421140349897,1.5152989215202388
MAX,2.8119811239504426,2.350946164687467,2.3599960002073845,2.17767444341343
EGR3,2.6784497313259195,2.8119811239504426,1.8843266334259718,2.0300384446073654
IRF1,2.45530618001171,2.45530618001171,2.6296595671564886,2.8119811239504426
NFE2L2,1.9014210667852722,2.797796488958487,1.7571714579407254,2.1117164756216327
BCL11A,2.7838102469837462,2.3876475315378953,1.9790720010153382,1.7277575727344323
SMAD4,1.9606099381756024,2.7429882524634914,1.5715386398431146,1.7038900913277886
BATF,2.3330885472874607,2.2162892795412104,1.9728800307674168,2.7429882524634914
RUNX1,2.090663066423801,2.4453558491585423,2.72974302571347,2.0837426235792265
RUNX3,1.563308140706599,2.72974302571347,1.8347296922865999,1.4364588598124626
RELA,2.18527904279865,1.9790720010153382,2.0300384446073654,2.7166709441461183
REL,2.606129069746294,2.3242779176053063,2.18527904279865,2.7037675393102094
CREB3,2.350946164687467,1.6805790124593416,2.350946164687467,2.6784497313259195
CUX1,2.378345138875581,2.0498410719035456,2.666027211327363,1.644375963795381
STAT2,1.8293677491452147,1.5674149226592529,2.306886174893437,2.6537571187355478
RBPJ,2.6416357582032037,1.5798374426578097,2.4653565158652118,2.4755088873292292
TFCP2,1.8134522938393147,2.1117164756216327,2.0498410719035456,2.6296595671564886
MEF2C,1.531047278488378,1.8401205409214765,2.617825109509485,1.5510880293718239
FOXJ3,2.298302431202045,2.5945682473452174,2.5831395515215956,2.5171815837297977
NFKB1,2.5718399962676615,1.6898383378721384,2.1626365660488895,2.5945682473452174
