"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-TNF-PATHWAY",6921.27725176616,7271.01380786068,-0.311378171340221,1.2729601362027e-39
"PID-TOLL-ENDOGENOUS-PATHWAY",7213.18061051125,7127.42129877765,0.104922725036577,9.0618364227935e-06
"PID-TRAIL-PATHWAY",6828.92573811871,6854.70651728408,-0.0241977012375494,0.306030247643251
"PID-TRKR-PATHWAY",5746.0117396049,5578.30829830957,0.156447460052773,3.64007565191168e-11
"PID-TXA2PATHWAY",5099.57879479538,5194.24736729735,-0.0880749302001674,0.00019475062999466
"PID-UPA-UPAR-PATHWAY",3597.16807692562,3735.16940200159,-0.158444661670468,2.04855829827205e-11
"PID-VEGFR1-2-PATHWAY",6185.00573387527,6047.92350564787,0.127008222643896,7.7570009478691e-08
"PID-VEGFR1-PATHWAY",5855.55264201415,5456.77212565659,0.244086660405446,5.41160857182479e-25
"PID-VEGF-VEGFR-PATHWAY",5266.35894315155,5174.51691454619,0.0442770526261987,0.0610702254398583
"PID-WNT-CANONICAL-PATHWAY",6798.53002119369,6580.19079711445,0.187611727649678,2.08219882476094e-15
"PID-WNT-NONCANONICAL-PATHWAY",6826.66682206041,6927.78819307551,-0.0921357790427999,9.71857054900012e-05
"PID-WNT-SIGNALING-PATHWAY",3857.75082772881,3813.09906056979,0.0509273634510826,0.0312159498724311
